time/10min	eth	our
1	665.5K	623.4K
2	702.5K	739.9K
3	887.3K	926.6K
4	905.8K	878.7K
5	730.2K	735.2K	
6	647.0K	678.9K
7	670.8K	704.1K
8	862.4K	851.6K
9	757.9K	761.1K
10	670.8K	669.2K
11	740.5K	789.9K
12	845.0K	825.0K
13	645.7K	619.9K
14	826.5K	781.3K
15	740.4K	711.2K
16	723.2K	682.2K
17	757.6K	793.0K
18	843.7K	866.7K
19	754.8K	757.5K
20	792.5K	830.9K
21	858.6K	881.4K
22	726.5K	730.2K
23	669.9K	679.5K
24	735.9K	744.5K
25	620.7K	610.8K
26	839.3K	878.9K
27	821.8K	772.1K
28	716.9K	700.5K
29	716.9K	672.4K
30	821.8K	800.1K
31	800.5K	789.4K
32	700.5K	679.3K
33	683.8K	661.2K
34	825.5K	842.0K
35	750.5K	743.2K
36	775.5K	729.5K
